epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
86,725.6,0.83005,0.42515,0.9019,0.94129,0.90985,0.93409,0.66293,0.92633,0.42184,1.06055,0.000198125,0.000198125,0.000198125
87,733.995,0.81627,0.41159,0.90557,0.95022,0.91965,0.95017,0.67119,0.94377,0.42806,1.0593,0.00018575,0.00018575,0.00018575
88,742.536,0.80342,0.40601,0.89764,0.9459,0.91305,0.9472,0.66615,0.92898,0.43019,1.05225,0.000173375,0.000173375,0.000173375
89,751.072,0.80475,0.40561,0.89811,0.92613,0.94593,0.96233,0.67991,0.9224,0.40868,1.06374,0.000161,0.000161,0.000161
90,759.675,0.79547,0.3994,0.89277,0.93485,0.93788,0.96762,0.68668,0.92285,0.41265,1.06223,0.000148625,0.000148625,0.000148625
91,769.423,0.78968,0.38161,0.8982,0.93976,0.90603,0.95922,0.68365,0.93946,0.41991,1.07882,0.00013625,0.00013625,0.00013625
92,777.362,0.7617,0.36624,0.89101,0.92868,0.92213,0.95354,0.68441,0.93196,0.41762,1.06974,0.000123875,0.000123875,0.000123875
93,785.1,0.76104,0.35983,0.88364,0.92572,0.92149,0.95581,0.68861,0.91588,0.41205,1.05066,0.0001115,0.0001115,0.0001115
94,792.719,0.75152,0.3577,0.87983,0.96625,0.91398,0.96087,0.68953,0.92511,0.41282,1.06281,9.9125e-05,9.9125e-05,9.9125e-05
95,800.583,0.7536,0.35757,0.8839,0.94139,0.93423,0.94264,0.67522,0.9107,0.41708,1.04652,8.675e-05,8.675e-05,8.675e-05
96,808.295,0.74166,0.35324,0.88193,0.93412,0.94558,0.95234,0.68844,0.92171,0.40828,1.06366,7.4375e-05,7.4375e-05,7.4375e-05
97,815.986,0.7483,0.35236,0.87993,0.93402,0.93037,0.94406,0.68818,0.92173,0.40467,1.06775,6.2e-05,6.2e-05,6.2e-05
98,823.889,0.7427,0.35208,0.88003,0.94331,0.92696,0.94378,0.69337,0.91495,0.40033,1.06504,4.9625e-05,4.9625e-05,4.9625e-05
99,831.52,0.73623,0.34884,0.87702,0.94678,0.92764,0.94345,0.69156,0.92294,0.40494,1.0706,3.725e-05,3.725e-05,3.725e-05
100,839.139,0.74043,0.35134,0.87706,0.92581,0.93866,0.94544,0.68969,0.91295,0.39876,1.06336,2.4875e-05,2.4875e-05,2.4875e-05
